,year,home_team,month,day,attend,day_of_week,opponent,temp,skies,day_night,cap,shirt,fireworks,bobblehead,hum>average,attend_inc,attend_thousands
0,2012,Baltimore Orioles,APR,6,32741,Friday,Minnesota Twins,59,Clear,Day,NO,NO,NO,NO,NO,,33
1,2012,Baltimore Orioles,APR,7,22072,Saturday,Minnesota Twins,63,Clear,Night,NO,NO,NO,NO,YES,-10669,22
2,2012,Baltimore Orioles,APR,8,10317,Sunday,Minnesota Twins,68,Clear,Day,NO,NO,NO,NO,YES,-11755,10
3,2012,Baltimore Orioles,APR,9,17835,Monday,New York Yankees,65,Cloudy,Night,NO,NO,NO,NO,NO,7518,18
4,2012,Baltimore Orioles,APR,10,17261,Tuesday,New York Yankees,62,Clear,Night,NO,NO,NO,NO,NO,-574,17
5,2012,Baltimore Orioles,APR,11,16043,Wednesday,New York Yankees,53,Cloudy,Night,NO,NO,NO,NO,YES,-1218,16
6,2012,Baltimore Orioles,APR,24,7741,Tuesday,Toronto Blue Jays,60,Cloudy,Night,NO,NO,NO,NO,,-8302,8
7,2012,Baltimore Orioles,APR,25,7290,Wednesday,Toronto Blue Jays,70,Clear,Night,NO,NO,NO,NO,NO,-451,7
8,2012,Baltimore Orioles,APR,26,9608,Thursday,Toronto Blue Jays,64,Cloudy,Night,NO,YES,NO,NO,YES,2318,10
9,2012,Baltimore Orioles,APR,27,12808,Friday,Oakland Athletics,60,Clear,Night,NO,NO,NO,NO,YES,3200,13
10,2012,Baltimore Orioles,APR,28,18848,Saturday,Oakland Athletics,56,Rainy,Night,YES,NO,NO,NO,YES,6040,19
11,2012,Baltimore Orioles,APR,29,22255,Sunday,Oakland Athletics,64,Clear,Day,NO,NO,NO,NO,NO,3407,22
12,2012,Baltimore Orioles,MAY,7,8357,Monday,Texas Rangers,67,Cloudy,Night,NO,NO,NO,NO,YES,-13898,8
13,2012,Baltimore Orioles,MAY,8,7884,Tuesday,Texas Rangers,68,Cloudy,Night,NO,NO,NO,NO,YES,-473,8
14,2012,Baltimore Orioles,MAY,10,13475,Thursday,Texas Rangers,61,Clear,Night,NO,YES,NO,NO,YES,5591,13
15,2012,Baltimore Orioles,MAY,11,18668,Friday,Tampa Bay Rays,71,Clear,Night,NO,NO,NO,NO,NO,5193,19
16,2012,Baltimore Orioles,MAY,12,23003,Saturday,Tampa Bay Rays,77,Cloudy,Night,NO,NO,NO,NO,YES,4335,23
17,2012,Baltimore Orioles,MAY,13,20686,Sunday,Tampa Bay Rays,79,Cloudy,Day,YES,NO,NO,NO,YES,-2317,21
18,2012,Baltimore Orioles,MAY,14,11544,Monday,New York Yankees,66,Rainy,Night,NO,NO,NO,NO,NO,-9142,12
19,2012,Baltimore Orioles,MAY,15,16838,Tuesday,New York Yankees,78,Cloudy,Night,NO,NO,NO,NO,NO,5294,17
20,2012,Baltimore Orioles,MAY,21,11474,Monday,Boston Red Sox,72,Cloudy,Night,NO,NO,NO,NO,NO,-5364,11
21,2012,Baltimore Orioles,MAY,22,17620,Tuesday,Boston Red Sox,76,Cloudy,Night,NO,NO,NO,NO,NO,6146,18
22,2012,Baltimore Orioles,MAY,23,19464,Wednesday,Boston Red Sox,75,Cloudy,Day,NO,NO,NO,NO,NO,1844,19
23,2012,Baltimore Orioles,MAY,25,20268,Friday,Kansas City Royals,82,Clear,Night,NO,NO,YES,NO,NO,804,20
24,2012,Baltimore Orioles,MAY,26,18700,Saturday,Kansas City Royals,87,Cloudy,Day,NO,NO,NO,NO,NO,-1568,19
25,2012,Baltimore Orioles,MAY,27,23743,Sunday,Kansas City Royals,86,Cloudy,Day,NO,YES,NO,NO,YES,5043,24
26,2012,Baltimore Orioles,JUN,8,28321,Friday,Philadelphia Phillies,81,Clear,Night,NO,NO,NO,NO,YES,4578,28
27,2012,Baltimore Orioles,JUN,9,32628,Saturday,Philadelphia Phillies,86,Cloudy,Day,NO,NO,NO,NO,YES,4307,33
28,2012,Baltimore Orioles,JUN,10,31687,Sunday,Philadelphia Phillies,90,Clear,Day,NO,NO,NO,NO,YES,-941,32
29,2012,Baltimore Orioles,JUN,12,10933,Tuesday,Pittsburgh Pirates,72,Cloudy,Night,NO,NO,NO,NO,NO,-20754,11
30,2012,Baltimore Orioles,JUN,13,16267,Wednesday,Pittsburgh Pirates,76,Clear,Night,NO,NO,NO,NO,YES,5334,16
31,2012,Baltimore Orioles,JUN,14,20996,Thursday,Pittsburgh Pirates,79,Cloudy,Night,YES,NO,NO,NO,YES,4729,21
32,2012,Baltimore Orioles,JUN,22,32124,Friday,Washington Nationals,76,Cloudy,Night,NO,NO,NO,NO,YES,11128,32
33,2012,Baltimore Orioles,JUN,23,32409,Saturday,Washington Nationals,87,Clear,Night,NO,YES,NO,NO,YES,285,32
34,2012,Baltimore Orioles,JUN,24,29256,Sunday,Washington Nationals,88,Cloudy,Day,NO,NO,NO,NO,YES,-3153,29
35,2012,Baltimore Orioles,JUN,26,17007,Tuesday,Los Angeles Angels,78,Clear,Night,YES,NO,NO,NO,YES,-12249,17
36,2012,Baltimore Orioles,JUN,27,12638,Wednesday,Los Angeles Angels,85,Clear,Night,NO,NO,NO,NO,YES,-4369,13
37,2012,Baltimore Orioles,JUN,28,12373,Thursday,Cleveland Indians,92,Clear,Night,NO,YES,NO,NO,NO,-265,12
38,2012,Baltimore Orioles,JUN,29,17345,Friday,Cleveland Indians,100,Clear,Night,NO,NO,YES,NO,NO,4972,17
39,2012,Baltimore Orioles,JUN,30,24734,Saturday,Cleveland Indians,91,Cloudy,Day,NO,NO,NO,NO,NO,7389,25
40,2012,Baltimore Orioles,JUL,1,11682,Sunday,Cleveland Indians,95,Cloudy,Day,NO,NO,NO,NO,NO,-13052,12
41,2012,Baltimore Orioles,JUL,13,24896,Friday,Detroit Tigers,85,Cloudy,Night,NO,YES,NO,NO,YES,13214,25
42,2012,Baltimore Orioles,JUL,14,30250,Saturday,Detroit Tigers,86,Cloudy,Day,NO,NO,NO,NO,YES,5354,30
43,2012,Baltimore Orioles,JUL,15,21307,Sunday,Detroit Tigers,87,Cloudy,Day,YES,NO,NO,NO,YES,-8943,21
44,2012,Baltimore Orioles,JUL,24,12314,Tuesday,Tampa Bay Rays,86,Cloudy,Night,NO,NO,NO,NO,NO,-8993,12
45,2012,Baltimore Orioles,JUL,25,13707,Wednesday,Tampa Bay Rays,85,Clear,Night,YES,NO,NO,NO,YES,1393,14
46,2012,Baltimore Orioles,JUL,26,14911,Thursday,Tampa Bay Rays,84,Cloudy,Day,NO,YES,NO,NO,YES,1204,15
47,2012,Baltimore Orioles,JUL,27,20495,Friday,Oakland Athletics,88,Cloudy,Night,YES,NO,YES,NO,,5584,20
48,2012,Baltimore Orioles,JUL,28,14800,Saturday,Oakland Athletics,88,Cloudy,Night,NO,NO,NO,NO,NO,-5695,15
49,2012,Baltimore Orioles,JUL,29,13789,Sunday,Oakland Athletics,81,Cloudy,Day,YES,NO,NO,NO,NO,-1011,14
50,2012,Baltimore Orioles,AUG,6,14829,Monday,Seattle Mariners,88,Cloudy,Night,NO,NO,NO,NO,YES,1040,15
51,2012,Baltimore Orioles,AUG,7,10803,Tuesday,Seattle Mariners,85,Cloudy,Night,NO,NO,NO,NO,NO,-4026,11
52,2012,Baltimore Orioles,AUG,8,12118,Wednesday,Seattle Mariners,85,Cloudy,Night,YES,NO,NO,NO,NO,1315,12
53,2012,Baltimore Orioles,AUG,9,14858,Thursday,Kansas City Royals,84,Cloudy,Night,NO,YES,NO,NO,NO,2740,15
54,2012,Baltimore Orioles,AUG,10,12094,Friday,Kansas City Royals,86,Cloudy,Night,NO,NO,NO,NO,YES,-2764,12
55,2012,Baltimore Orioles,AUG,11,28319,Saturday,Kansas City Royals,73,Cloudy,Night,NO,NO,NO,NO,YES,16225,28
56,2012,Baltimore Orioles,AUG,12,14654,Sunday,Kansas City Royals,81,Clear,Day,YES,NO,NO,NO,YES,-13665,15
57,2012,Baltimore Orioles,AUG,14,18343,Tuesday,Boston Red Sox,84,Cloudy,Night,NO,NO,NO,NO,NO,3689,18
58,2012,Baltimore Orioles,AUG,15,15588,Wednesday,Boston Red Sox,80,Cloudy,Night,NO,NO,NO,NO,NO,-2755,16
59,2012,Baltimore Orioles,AUG,16,17838,Thursday,Boston Red Sox,84,Clear,Night,NO,NO,NO,NO,NO,2250,18
60,2012,Baltimore Orioles,AUG,24,18028,Friday,Toronto Blue Jays,84,Cloudy,Night,NO,NO,YES,NO,NO,190,18
61,2012,Baltimore Orioles,AUG,25,17557,Saturday,Toronto Blue Jays,77,Cloudy,Night,YES,NO,NO,NO,NO,-471,18
62,2012,Baltimore Orioles,AUG,27,7668,Monday,Chicago White Sox,87,Cloudy,Night,NO,NO,NO,NO,NO,-9889,8
63,2012,Baltimore Orioles,AUG,28,8989,Tuesday,Chicago White Sox,86,Clear,Night,NO,NO,NO,NO,NO,1321,9
64,2012,Baltimore Orioles,AUG,29,9169,Wednesday,Chicago White Sox,82,Clear,Night,NO,NO,NO,NO,NO,180,9
65,2012,Baltimore Orioles,AUG,30,7099,Thursday,Chicago White Sox,81,Clear,Day,NO,NO,NO,NO,YES,-2070,7
