,year,home_team,month,day,attend,day_of_week,opponent,temp,skies,day_night,cap,shirt,fireworks,bobblehead,hum>average,attend_inc,attend_thousands
71,2012,Baltimore Orioles,SEP,12,,Wednesday,Tampa Bay Rays,77,Clear,Night,NO,NO,NO,NO,NO,,
72,2012,Baltimore Orioles,SEP,13,,Thursday,Tampa Bay Rays,76,Clear,Day,NO,YES,NO,NO,NO,,
73,2012,Baltimore Orioles,SEP,24,,Monday,Toronto Blue Jays,65,Clear,Night,NO,NO,NO,NO,NO,,
74,2012,Baltimore Orioles,SEP,25,,Tuesday,Toronto Blue Jays,72,Clear,Night,NO,NO,NO,NO,YES,,
75,2012,Baltimore Orioles,SEP,26,,Wednesday,Toronto Blue Jays,81,Cloudy,Night,NO,NO,NO,NO,NO,,
76,2012,Baltimore Orioles,SEP,28,,Friday,Boston Red Sox,72,Cloudy,Night,NO,NO,YES,NO,NO,,
77,2012,Baltimore Orioles,SEP,29,,Saturday,Boston Red Sox,65,Cloudy,Night,NO,NO,NO,NO,YES,,
78,2012,Baltimore Orioles,SEP,30,,Sunday,Boston Red Sox,66,Cloudy,Day,NO,NO,NO,YES,YES,,
152,2012,Boston Red Sox,SEP,11,,Tuesday,New York Yankees,73,Cloudy,Night,NO,NO,NO,NO,YES,,
153,2012,Boston Red Sox,SEP,12,,Wednesday,New York Yankees,68,Clear,Night,NO,NO,NO,NO,YES,,
154,2012,Boston Red Sox,SEP,13,,Thursday,New York Yankees,79,Cloudy,Night,NO,NO,NO,NO,NO,,
155,2012,Boston Red Sox,SEP,21,,Friday,Baltimore Orioles,60,Cloudy,Night,NO,NO,NO,NO,YES,,
156,2012,Boston Red Sox,SEP,22,,Saturday,Baltimore Orioles,63,Cloudy,Day,NO,NO,NO,NO,NO,,
157,2012,Boston Red Sox,SEP,23,,Sunday,Baltimore Orioles,70,Cloudy,Day,NO,NO,NO,NO,NO,,
158,2012,Boston Red Sox,SEP,25,,Tuesday,Tampa Bay Rays,66,Cloudy,Night,NO,NO,NO,NO,NO,,
159,2012,Boston Red Sox,SEP,26,,Wednesday,Tampa Bay Rays,71,Cloudy,Night,NO,NO,NO,NO,YES,,
233,2012,Chicago White Sox,SEP,17,,Monday,Detroit Tigers,81,Cloudy,Day,NO,NO,NO,NO,NO,,
234,2012,Chicago White Sox,SEP,24,,Monday,Cleveland Indians,66,Clear,Night,NO,NO,NO,NO,NO,,
235,2012,Chicago White Sox,SEP,25,,Tuesday,Cleveland Indians,78,Cloudy,Day,NO,NO,NO,NO,YES,,
236,2012,Chicago White Sox,SEP,26,,Wednesday,Cleveland Indians,57,Clear,Night,NO,NO,NO,NO,YES,,
237,2012,Chicago White Sox,SEP,27,,Thursday,Tampa Bay Rays,60,Cloudy,Night,NO,NO,NO,NO,,,
238,2012,Chicago White Sox,SEP,28,,Friday,Tampa Bay Rays,64,Clear,Night,NO,NO,YES,NO,NO,,
239,2012,Chicago White Sox,SEP,29,,Saturday,Tampa Bay Rays,78,Clear,Day,NO,NO,NO,NO,NO,,
240,2012,Chicago White Sox,SEP,30,,Sunday,Tampa Bay Rays,64,Cloudy,Day,NO,NO,NO,NO,YES,,
314,2012,Cleveland Indians,SEP,19,,Wednesday,Minnesota Twins,62,Clear,Night,NO,NO,NO,NO,YES,,
315,2012,Cleveland Indians,SEP,20,,Thursday,Minnesota Twins,64,Cloudy,Day,NO,NO,NO,NO,NO,,
316,2012,Cleveland Indians,SEP,28,,Friday,Kansas City Royals,62,Clear,Night,NO,NO,NO,NO,NO,,
317,2012,Cleveland Indians,SEP,29,,Saturday,Kansas City Royals,63,Cloudy,Night,NO,NO,NO,NO,NO,,
318,2012,Cleveland Indians,SEP,30,,Sunday,Kansas City Royals,56,Cloudy,Day,NO,NO,NO,NO,NO,,
319,2012,Cleveland Indians,OCT,1,,Monday,Chicago White Sox,61,Cloudy,Night,NO,NO,NO,NO,NO,,
320,2012,Cleveland Indians,OCT,2,,Tuesday,Chicago White Sox,64,Cloudy,Night,NO,NO,NO,NO,YES,,
321,2012,Cleveland Indians,OCT,3,,Wednesday,Chicago White Sox,64,Cloudy,Night,NO,NO,NO,NO,YES,,
395,2012,Detroit Tigers,SEP,20,,Thursday,Oakland Athletics,54,Cloudy,Day,NO,NO,NO,NO,YES,,
396,2012,Detroit Tigers,SEP,22,,Saturday,Minnesota Twins,58,Cloudy,Day,NO,NO,NO,NO,YES,,
397,2012,Detroit Tigers,SEP,23,,Sunday,Minnesota Twins,55,Cloudy,Day,NO,YES,NO,NO,YES,,
398,2012,Detroit Tigers,SEP,23,,Sunday,Minnesota Twins,56,Cloudy,Night,NO,NO,NO,NO,YES,,
399,2012,Detroit Tigers,SEP,24,,Monday,Kansas City Royals,63,Clear,Night,NO,NO,NO,NO,NO,,
400,2012,Detroit Tigers,SEP,25,,Tuesday,Kansas City Royals,68,Cloudy,Night,NO,NO,NO,NO,YES,,
401,2012,Detroit Tigers,SEP,26,,Wednesday,Kansas City Royals,63,Cloudy,Night,NO,NO,NO,NO,YES,,
402,2012,Detroit Tigers,SEP,27,,Thursday,Kansas City Royals,59,Cloudy,Day,NO,NO,NO,NO,NO,,
476,2012,Houston Astros,SEP,15,,Saturday,Philadelphia Phillies,73,Dome,Night,NO,YES,NO,NO,NO,,
477,2012,Houston Astros,SEP,16,,Sunday,Philadelphia Phillies,73,Dome,Day,NO,NO,NO,NO,YES,,
478,2012,Houston Astros,SEP,21,,Friday,Pittsburgh Pirates,84,Clear,Night,NO,YES,YES,NO,NO,,
479,2012,Houston Astros,SEP,22,,Saturday,Pittsburgh Pirates,73,Dome,Night,NO,YES,NO,NO,YES,,
480,2012,Houston Astros,SEP,23,,Sunday,Pittsburgh Pirates,73,Dome,Day,NO,YES,NO,NO,YES,,
481,2012,Houston Astros,SEP,24,,Monday,St. Louis Cardinals,73,Dome,Night,NO,NO,NO,NO,NO,,
482,2012,Houston Astros,SEP,25,,Tuesday,St. Louis Cardinals,73,Dome,Night,NO,NO,NO,NO,NO,,
483,2012,Houston Astros,SEP,26,,Wednesday,St. Louis Cardinals,73,Dome,Night,NO,NO,NO,NO,NO,,
556,2012,Kansas City Royals,SEP,19,,Wednesday,Chicago White Sox,79,Cloudy,Night,NO,NO,NO,NO,YES,,
557,2012,Kansas City Royals,SEP,20,,Thursday,Chicago White Sox,73,Clear,Night,NO,NO,NO,NO,NO,,
558,2012,Kansas City Royals,SEP,21,,Friday,Cleveland Indians,75,Clear,Night,NO,NO,YES,NO,YES,,
559,2012,Kansas City Royals,SEP,22,,Saturday,Cleveland Indians,66,Clear,Night,NO,NO,NO,NO,YES,,
560,2012,Kansas City Royals,SEP,23,,Sunday,Cleveland Indians,65,Clear,Day,NO,NO,NO,NO,NO,,
561,2012,Kansas City Royals,OCT,1,,Monday,Detroit Tigers,71,Cloudy,Night,NO,NO,NO,NO,YES,,
562,2012,Kansas City Royals,OCT,2,,Tuesday,Detroit Tigers,74,Clear,Night,NO,NO,NO,NO,NO,,
563,2012,Kansas City Royals,OCT,3,,Wednesday,Detroit Tigers,72,Clear,Night,NO,NO,NO,NO,NO,,
637,2012,Los Angeles Angels,SEP,19,,Wednesday,Texas Rangers,78,Clear,Night,NO,NO,NO,NO,,,
638,2012,Los Angeles Angels,SEP,20,,Thursday,Texas Rangers,81,Clear,Night,NO,NO,NO,NO,NO,,
639,2012,Los Angeles Angels,SEP,21,,Friday,Chicago White Sox,82,Cloudy,Night,NO,NO,YES,NO,YES,,
640,2012,Los Angeles Angels,SEP,22,,Saturday,Chicago White Sox,86,Cloudy,Night,NO,NO,NO,NO,YES,,
641,2012,Los Angeles Angels,SEP,23,,Sunday,Chicago White Sox,94,Clear,Day,NO,NO,NO,NO,NO,,
642,2012,Los Angeles Angels,SEP,25,,Tuesday,Seattle Mariners,69,Clear,Night,NO,NO,NO,NO,NO,,
643,2012,Los Angeles Angels,SEP,26,,Wednesday,Seattle Mariners,71,Clear,Night,NO,NO,NO,NO,NO,,
644,2012,Los Angeles Angels,SEP,27,,Thursday,Seattle Mariners,81,Clear,Day,NO,NO,NO,NO,YES,,
718,2012,Minnesota Twins,SEP,15,,Saturday,Chicago White Sox,71,Clear,Day,NO,NO,NO,NO,YES,,
